periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
291,100.0,0.010093343585933704,3,3,0,13614.881332618881,13752.301007790718,13752.301007790718,13614.881332618881,2.05,68.75,17,24,56,1
292,100.0,0.00653138763419888,2,2,0,13752.301007790718,13842.122616534783,13842.122616534783,13752.301007790718,2.6286713286713286,73.07692307692307,6,48,5,5
293,100.0,0.006538793924448344,2,2,0,13842.122616534783,13932.63340380125,13932.63340380125,13842.122616534783,2.6294612794612795,70.37037037037037,6,48,5,5
294,66.66666666666666,-0.00045344242376600777,3,2,1,13932.63340380125,13926.315756741187,13983.770169086736,13873.749920635495,2.698701298701299,71.42857142857143,47,5,6,5
295,0.0,-0.008246496669773444,1,0,1,13926.315756741187,13811.472440231008,13926.315756741187,13811.472440231008,2.5636363636363635,75.0,5,55,6,5
297,0.0,-0.008957725532577503,1,0,1,13811.472440231008,13687.75306091066,13811.472440231008,13687.75306091066,2.558741258741259,69.23076923076923,5,54,6,5
298,100.0,0.00359647479431688,1,1,0,13687.75306091066,13736.980719785059,13736.980719785059,13687.75306091066,1.9909090909090907,87.5,40,60,7,2
299,50.0,-0.004920116856219216,2,1,1,13736.980719785059,13669.393169392086,13783.066961070235,13669.393169392086,2.85,68.75,5,45,6,5
300,100.0,0.005326992392371085,2,2,0,13669.393169392086,13742.209922813767,13742.209922813767,13669.393169392086,3.0626262626262624,69.44444444444444,31,5,6,4
301,0.0,-0.008258918815303034,1,0,1,13742.209922813767,13628.714126718396,13742.209922813767,13628.714126718396,2.85,68.75,6,29,6,3
302,0.0,-0.008728271219521633,1,0,1,13628.714126718396,13509.759013447072,13628.714126718396,13509.759013447072,2.85,68.75,10,20,22,3
303,100.0,0.006225265658022294,2,2,0,13509.759013447072,13593.860852281641,13593.860852281641,13509.759013447072,3.208741258741259,69.23076923076923,20,10,6,5
304,66.66666666666666,-0.0019480053065175649,3,2,1,13593.860852281641,13567.379939205335,13593.860852281641,13484.064008736574,2.9967532467532467,68.57142857142857,18,12,6,5
